Date,Description,Amount
2025-01-05,Salary Deposit,5000
2025-01-06,Starbucks Coffee,-4.50
2025-01-07,Uber Ride to Airport,-25.00
2025-01-08,Amazon Purchase - Headphones,-89.99
2025-01-09,Walmart Groceries,-67.32
2025-01-10,Netflix Subscription,-15.99
2025-01-11,Shell Gas Station,-45.00
2025-01-12,Restaurant Dinner - Italian,-52.80
2025-01-13,Electric Bill Payment,-120.00
2025-01-14,Spotify Subscription,-9.99
2025-01-15,Salary Deposit,5000
2025-01-16,Kroger Supermarket,-83.45
2025-01-17,Uber Ride,-18.50
2025-01-18,McDonald's,-12.30
2025-01-19,Amazon Prime Subscription,-14.99
2025-01-20,Gym Membership,-49.99
2025-01-21,CVS Pharmacy,-23.50
2025-01-22,Movie Theater Tickets,-32.00
2025-01-23,Zara Clothing Store,-145.00
2025-01-24,Internet Bill,-79.99
2025-01-25,Trader Joe's,-56.78
2025-01-26,Lyft Ride,-22.00
2025-01-27,Pizza Hut Delivery,-28.50
2025-01-28,Adobe Subscription,-54.99
2025-01-29,Dental Checkup,-180.00
2025-01-30,Rent Payment,-1500.00
2025-01-31,Cash Back Reward,25.00
2025-02-01,Salary Deposit,5000
2025-02-02,Starbucks Coffee,-5.25
2025-02-03,Costco Groceries,-156.30
2025-02-04,Uber Ride,-15.00
2025-02-05,Netflix Subscription,-15.99
2025-02-06,Thai Restaurant,-38.00
2025-02-07,Shell Gas Station,-48.00
2025-02-08,Target Shopping,-92.00
2025-02-09,Phone Bill,-65.00
2025-02-10,Spotify Subscription,-9.99
2025-02-11,Home Depot,-234.56
2025-02-12,Burger King,-9.80
2025-02-13,PetSmart Dog Food,-45.00
2025-02-14,Concert Tickets,-150.00
2025-02-15,Salary Deposit,5000
2025-02-16,Walmart Groceries,-72.10
2025-02-17,Uber Ride,-20.00
2025-02-18,Subway Sandwich,-8.99
2025-02-19,Amazon Purchase - Books,-35.00
2025-02-20,Gym Membership,-49.99
2025-02-21,Water Bill,-42.00
2025-02-22,Chipotle,-14.50
2025-02-23,Hair Salon,-60.00
2025-02-24,Rent Payment,-1500.00
2025-02-25,Interest Earned,12.50
2025-02-26,Flight Tickets - Vacation,-850.00
2025-02-27,Hotel Booking,-420.00
2025-02-28,Dining Out - Sushi,-75.00
